file,label,rms,peak,crest,width,duration_ms,zero_crossings
dataset\clap\clap_0022.npy,clap,0.0387027972978947,0.08612060546875,2.225177803192915,153,3.4693877551020407,9
dataset\clap\clap_0023.npy,clap,0.030010517844374533,0.08111572265625,2.7029097957220065,71,1.6099773242630386,40
dataset\clap\clap_0024.npy,clap,0.032570991247274035,0.082366943359375,2.528843618361432,85,1.927437641723356,21
dataset\clap\clap_0025.npy,clap,0.041689215120177696,0.117279052734375,2.81317487979311,62,1.4058956916099774,18
dataset\clap\clap_0026.npy,clap,0.035517234491182485,0.09197998046875,2.5897281076764287,99,2.2448979591836733,36
dataset\clap\clap_0027.npy,clap,0.029377104565795467,0.09228515625,3.141397275667869,50,1.1337868480725624,26
dataset\clap\clap_0028.npy,clap,0.032482969586755374,0.08905029296875,2.7414455667581397,67,1.5192743764172336,28
dataset\clap\clap_0029.npy,clap,0.04832661723725968,0.150238037109375,3.1088051615899555,51,1.1564625850340136,37
dataset\clap\clap_0030.npy,clap,0.060180011089913665,0.2069091796875,3.4381711791039957,38,0.8616780045351474,37
dataset\clap\clap_0031.npy,clap,0.03566153608911,0.1243896484375,3.4880619871976015,30,0.6802721088435374,43
dataset\clap\clap_0032.npy,clap,0.06592981109261961,0.140594482421875,2.132487263225506,162,3.673469387755102,13
dataset\clap\clap_0033.npy,clap,0.04721086383383622,0.090484619140625,1.9166058782380149,194,4.399092970521542,15
dataset\clap\clap_0034.npy,clap,0.06152874062812639,0.1329345703125,2.1605280549449786,131,2.9705215419501134,20
dataset\clap\clap_0035.npy,clap,0.05074123374650049,0.119140625,2.3480041024468954,149,3.378684807256236,28
dataset\clap\clap_0036.npy,clap,0.12501399280942962,0.647674560546875,5.180816530947741,19,0.4308390022675737,78
dataset\clap\clap_0037.npy,clap,0.050168369301297144,0.144195556640625,2.874232482515566,68,1.5419501133786848,32
dataset\clap\clap_0038.npy,clap,0.07373571423759201,0.221038818359375,2.997717193694515,56,1.2698412698412698,32
dataset\clap\clap_0039.npy,clap,0.10767343096333598,0.415924072265625,3.862829191420972,23,0.5215419501133787,43
dataset\clap\clap_0040.npy,clap,0.07991192609175655,0.221588134765625,2.7729044412118515,80,1.8140589569160999,30
dataset\clap\clap_0041.npy,clap,0.1388865388840849,0.58251953125,4.194211591205196,26,0.5895691609977324,70
dataset\clap\clap_0042.npy,clap,0.06129362200094702,0.176513671875,2.879804882019744,54,1.2244897959183674,29
dataset\clap\clap_0043.npy,clap,0.06192927197767743,0.15020751953125,2.425468841057791,114,2.5850340136054424,35
dataset\clap\clap_0044.npy,clap,0.040820959463912045,0.119659423828125,2.9313231584845636,52,1.1791383219954648,38
dataset\clap\clap_0045.npy,clap,0.07479294275830144,0.18817138671875,2.5158976205393984,108,2.4489795918367347,27
dataset\clap\clap_0046.npy,clap,0.09018026391856694,0.378173828125,4.1935320622535786,10,0.22675736961451248,39
dataset\clap\clap_0047.npy,clap,0.04259576382921238,0.15875244140625,3.7269537422258128,23,0.5215419501133787,39
dataset\clap\clap_0048.npy,clap,0.050000951207928426,0.14013671875,2.802681056351167,65,1.473922902494331,24
dataset\clap\clap_0049.npy,clap,0.055214765510107615,0.144500732421875,2.617066849544488,94,2.131519274376417,30
dataset\clap\clap_0050.npy,clap,0.05131949397997916,0.12249755859375,2.386959595539639,113,2.562358276643991,31
dataset\snap\snap_0001.npy,snap,0.034901782916545464,0.095550537109375,2.737697880301654,87,1.9727891156462585,24
dataset\snap\snap_0002.npy,snap,0.054611861626883314,0.12493896484375,2.287762422335139,149,3.378684807256236,30
dataset\snap\snap_0003.npy,snap,0.06665543675758402,0.219329833984375,3.290501790304746,60,1.3605442176870748,40
dataset\snap\snap_0004.npy,snap,0.075699402262624,0.3564453125,4.708693884574992,12,0.272108843537415,62
dataset\snap\snap_0005.npy,snap,0.05602910882697979,0.2239990234375,3.9979044487253628,19,0.4308390022675737,24
dataset\snap\snap_0006.npy,snap,0.042802387319925306,0.086395263671875,2.018468339770768,180,4.081632653061225,22
dataset\snap\snap_0007.npy,snap,0.08194585606511909,0.293304443359375,3.5792468032342932,41,0.9297052154195011,9
dataset\snap\snap_0008.npy,snap,0.05630009945058277,0.127044677734375,2.2565622258960314,123,2.7891156462585034,7
dataset\snap\snap_0009.npy,snap,0.04475990570728051,0.10028076171875,2.2404149457901705,138,3.129251700680272,35
dataset\snap\snap_0010.npy,snap,0.04802806347112906,0.110198974609375,2.294470495892855,135,3.061224489795918,32
dataset\snap\snap_0011.npy,snap,0.058705459069625085,0.131500244140625,2.2400002695603622,135,3.061224489795918,19
dataset\snap\snap_0012.npy,snap,0.05151583978811644,0.174468994140625,3.3867058143322963,36,0.8163265306122449,18
dataset\snap\snap_0013.npy,snap,0.05186545324117549,0.241485595703125,4.656000875577269,7,0.15873015873015872,35
dataset\snap\snap_0014.npy,snap,0.1624309790232136,0.416900634765625,2.5666325307689255,99,2.2448979591836733,20
dataset\snap\snap_0015.npy,snap,0.08480231448971022,0.24456787109375,2.8839763698127068,66,1.4965986394557824,25
dataset\snap\snap_0016.npy,snap,0.24916738853321843,0.921630859375,3.69884223132246,44,0.9977324263038548,15
dataset\snap\snap_0017.npy,snap,0.22400341320838732,0.903900146484375,4.035207024472832,33,0.7482993197278912,16
dataset\snap\snap_0018.npy,snap,0.1246251319023188,0.487548828125,3.912122865451736,38,0.8616780045351474,22
dataset\snap\snap_0019.npy,snap,0.09867783505702493,0.30682373046875,3.109348014084821,55,1.2471655328798186,3
dataset\snap\snap_0020.npy,snap,0.031591953544497085,0.076324462890625,2.415946287814156,118,2.675736961451247,18
dataset\snap\snap_0021.npy,snap,0.09807686239451013,0.363250732421875,3.7037352496118188,29,0.6575963718820862,9
dataset\snap\snap_0022.npy,snap,0.031492579309008444,0.1026611328125,3.2598515289960326,48,1.08843537414966,48
dataset\snap\snap_0023.npy,snap,0.06814608142340589,0.202056884765625,2.9650550779318214,58,1.3151927437641724,16
dataset\snap\snap_0024.npy,snap,0.04161952884146255,0.12298583984375,2.955003174404705,64,1.4512471655328798,38
dataset\snap\snap_0025.npy,snap,0.057118181809021576,0.14398193359375,2.520772353629237,80,1.8140589569160999,26
dataset\snap\snap_0026.npy,snap,0.07562363957714184,0.28509521484375,3.7699218979394833,35,0.7936507936507936,13
dataset\snap\snap_0027.npy,snap,0.137770338948254,0.395660400390625,2.871883769838394,61,1.383219954648526,8
dataset\snap\snap_0028.npy,snap,0.09480035017554547,0.391632080078125,4.131124825519365,24,0.54421768707483,19
dataset\snap\snap_0029.npy,snap,0.05666993039494501,0.2117919921875,3.7372904944734495,23,0.5215419501133787,51
dataset\snap\snap_0030.npy,snap,0.04589878904729145,0.12213134765625,2.6608838749626473,83,1.8820861678004535,38
dataset\snap\snap_0031.npy,snap,0.0324072094531387,0.097320556640625,3.0030526627524643,63,1.4285714285714286,65
dataset\snap\snap_0032.npy,snap,0.16531410056646853,0.618560791015625,3.7417303720375483,46,1.0430839002267573,23
dataset\snap\snap_0033.npy,snap,0.18579041179311392,0.569793701171875,3.0668627927170227,46,1.0430839002267573,9
dataset\snap\snap_0034.npy,snap,0.15389143753715742,0.509307861328125,3.3095269592575707,49,1.1111111111111112,12
dataset\snap\snap_0035.npy,snap,0.06835602287770684,0.27618408203125,4.040376698412668,20,0.45351473922902497,5
dataset\snap\snap_0036.npy,snap,0.07670688064724504,0.272491455078125,3.5523730437070205,55,1.2471655328798186,22
dataset\snap\snap_0037.npy,snap,0.12304392516653474,0.47955322265625,3.8974148622712987,36,0.8163265306122449,17
dataset\snap\snap_0038.npy,snap,0.06642334298786534,0.28912353515625,4.352739897615045,28,0.6349206349206349,11
dataset\snap\snap_0039.npy,snap,0.042040234039862553,0.101593017578125,2.4165664130650293,135,3.061224489795918,27
dataset\snap\snap_0040.npy,snap,0.12020541645665996,0.515716552734375,4.29029379820265,34,0.7709750566893424,28
dataset\snap\snap_0041.npy,snap,0.03687249253255369,0.146087646484375,3.96196829805846,27,0.6122448979591837,34
dataset\snap\snap_0042.npy,snap,0.04473114755931565,0.19866943359375,4.441411509291256,19,0.4308390022675737,38
dataset\snap\snap_0043.npy,snap,0.0574804957105525,0.176544189453125,3.071375555668952,64,1.4512471655328798,53
dataset\snap\snap_0044.npy,snap,0.05642273523521534,0.148040771484375,2.6237787102525605,85,1.927437641723356,32
dataset\snap\snap_0045.npy,snap,0.0698883293331933,0.250579833984375,3.5854317362450194,37,0.8390022675736961,25
dataset\snap\snap_0046.npy,snap,0.03562254054494199,0.091583251953125,2.570935440092546,81,1.836734693877551,39
dataset\snap\snap_0047.npy,snap,0.03385079145948178,0.080841064453125,2.388158768751063,111,2.5170068027210886,23
dataset\snap\snap_0048.npy,snap,0.04283356246598328,0.09820556640625,2.29272469419841,118,2.675736961451247,39
dataset\snap\snap_0049.npy,snap,0.2214664645628334,0.86822509765625,3.920345680191781,38,0.8616780045351474,15
dataset\snap\snap_0050.npy,snap,0.17909853826776473,0.719879150390625,4.01945854697237,34,0.7709750566893424,12
dataset\keyboard\keyboard_0001.npy,keyboard,0.12617826981832828,0.48602294921875,3.851875207343759,36,0.8163265306122449,8
dataset\keyboard\keyboard_0002.npy,keyboard,0.1512894486125971,0.607879638671875,4.01799097191805,34,0.7709750566893424,13
dataset\keyboard\keyboard_0003.npy,keyboard,0.03242237403308822,0.0797119140625,2.4585464957362797,114,2.5850340136054424,23
dataset\keyboard\keyboard_0004.npy,keyboard,0.05136767049274419,0.14898681640625,2.9004004849177414,81,1.836734693877551,32
dataset\keyboard\keyboard_0005.npy,keyboard,0.049135076438867595,0.193206787109375,3.932156030117449,27,0.6122448979591837,40
dataset\keyboard\keyboard_0006.npy,keyboard,0.04597784996587374,0.165985107421875,3.610110249719692,50,1.1337868480725624,41
dataset\keyboard\keyboard_0007.npy,keyboard,0.07403498185733652,0.317474365234375,4.288166989034181,28,0.6349206349206349,50
dataset\keyboard\keyboard_0008.npy,keyboard,0.13672804946029768,0.519561767578125,3.7999647448272302,46,1.0430839002267573,14
dataset\keyboard\keyboard_0009.npy,keyboard,0.024888019632281717,0.062225341796875,2.500212661202012,105,2.380952380952381,80
dataset\keyboard\keyboard_0010.npy,keyboard,0.04201936521251878,0.08642578125,2.056808350456738,149,3.378684807256236,23
dataset\keyboard\keyboard_0011.npy,keyboard,0.03517649956557686,0.15142822265625,4.304812148063622,11,0.2494331065759637,55
dataset\keyboard\keyboard_0012.npy,keyboard,0.03367415997843466,0.1436767578125,4.266676819986373,15,0.3401360544217687,33
dataset\keyboard\keyboard_0013.npy,keyboard,0.03654253447546927,0.08935546875,2.4452455209417305,98,2.2222222222222223,19
dataset\keyboard\keyboard_0014.npy,keyboard,0.03699666497454541,0.098052978515625,2.6503193891419077,81,1.836734693877551,21
dataset\keyboard\keyboard_0015.npy,keyboard,0.03736188677519779,0.129180908203125,3.457558473435557,35,0.7936507936507936,36
dataset\keyboard\keyboard_0016.npy,keyboard,0.0371651125610513,0.08856201171875,2.3829340372175323,120,2.7210884353741496,25
dataset\keyboard\keyboard_0017.npy,keyboard,0.049161746907699304,0.10528564453125,2.1416172360376606,145,3.2879818594104306,10
dataset\keyboard\keyboard_0018.npy,keyboard,0.03720640762426466,0.1524658203125,4.097837712584415,14,0.31746031746031744,32
dataset\keyboard\keyboard_0019.npy,keyboard,0.03800252530494119,0.089141845703125,2.3456821615887335,118,2.675736961451247,28
dataset\keyboard\keyboard_0020.npy,keyboard,0.06436143220674338,0.195587158203125,3.0388875992512894,41,0.9297052154195011,23
dataset\keyboard\keyboard_0021.npy,keyboard,0.05427947522385746,0.144256591796875,2.657663715464034,83,1.8820861678004535,16
dataset\keyboard\keyboard_0022.npy,keyboard,0.04664213152517189,0.10638427734375,2.2808622561843337,140,3.1746031746031744,19
dataset\keyboard\keyboard_0023.npy,keyboard,0.040876612693059144,0.09222412109375,2.256158595778404,134,3.0385487528344672,21
dataset\keyboard\keyboard_0024.npy,keyboard,0.050939074289573394,0.107086181640625,2.102240433971613,156,3.5374149659863945,24
dataset\keyboard\keyboard_0025.npy,keyboard,0.04004337439899376,0.10198974609375,2.54698180721535,102,2.312925170068027,27
dataset\keyboard\keyboard_0026.npy,keyboard,0.055640950761747486,0.1546630859375,2.7796628889351958,67,1.5192743764172336,40
dataset\keyboard\keyboard_0027.npy,keyboard,0.02651858831850926,0.069671630859375,2.627275253967651,98,2.2222222222222223,59
dataset\keyboard\keyboard_0028.npy,keyboard,0.07630986649175796,0.221588134765625,2.9037940302196463,54,1.2244897959183674,20
dataset\keyboard\keyboard_0029.npy,keyboard,0.047079989347508074,0.135711669921875,2.8825764789400523,65,1.473922902494331,49
dataset\keyboard\keyboard_0030.npy,keyboard,0.0808756323343498,0.20916748046875,2.5862855650268792,99,2.2448979591836733,8
dataset\keyboard\keyboard_0031.npy,keyboard,0.048720704768537675,0.13983154296875,2.870064044292087,58,1.3151927437641724,40
dataset\keyboard\keyboard_0032.npy,keyboard,0.05580423008439227,0.134552001953125,2.411143416003467,116,2.630385487528345,20
dataset\keyboard\keyboard_0033.npy,keyboard,0.05964460105165487,0.14825439453125,2.4856297454794793,117,2.6530612244897958,19
dataset\keyboard\keyboard_0034.npy,keyboard,0.07466741200256713,0.179443359375,2.4032352878231613,128,2.9024943310657596,12
dataset\keyboard\keyboard_0035.npy,keyboard,0.03324656334243163,0.0943603515625,2.8381986610348564,64,1.4512471655328798,29
dataset\keyboard\keyboard_0036.npy,keyboard,0.04601646870058891,0.12371826171875,2.6885648814935394,83,1.8820861678004535,42
dataset\keyboard\keyboard_0037.npy,keyboard,0.05610560683864748,0.17755126953125,3.164590484545772,50,1.1337868480725624,44
dataset\keyboard\keyboard_0038.npy,keyboard,0.10211132132730773,0.28472900390625,2.788417583918823,62,1.4058956916099774,14
dataset\keyboard\keyboard_0039.npy,keyboard,0.04118467350464567,0.125579833984375,3.0491885281113005,48,1.08843537414966,35
dataset\keyboard\keyboard_0040.npy,keyboard,0.08938628623738089,0.24127197265625,2.6992056926440613,78,1.7687074829931972,15
dataset\keyboard\keyboard_0041.npy,keyboard,0.05863682748514514,0.141937255859375,2.4206162227199775,115,2.6077097505668934,28
dataset\keyboard\keyboard_0042.npy,keyboard,0.069600949114761,0.148468017578125,2.133132083203702,137,3.106575963718821,26
dataset\keyboard\keyboard_0043.npy,keyboard,0.05986799814258961,0.175201416015625,2.926461907049939,61,1.383219954648526,30
dataset\keyboard\keyboard_0044.npy,keyboard,0.07316994325502321,0.172760009765625,2.3610789086373223,122,2.766439909297052,13
dataset\keyboard\keyboard_0045.npy,keyboard,0.07945259574045138,0.24420166015625,3.0735516930621887,40,0.9070294784580499,21
dataset\keyboard\keyboard_0046.npy,keyboard,0.0789375828769818,0.22698974609375,2.87555987681427,64,1.4512471655328798,34
dataset\keyboard\keyboard_0047.npy,keyboard,0.0638087925785332,0.152374267578125,2.3879823049556865,116,2.630385487528345,19
dataset\keyboard\keyboard_0048.npy,keyboard,0.09012740794273874,0.299652099609375,3.324761095978207,38,0.8616780045351474,19
dataset\keyboard\keyboard_0049.npy,keyboard,0.054508858811129886,0.126708984375,2.324557643263813,114,2.5850340136054424,38
dataset\keyboard\keyboard_0050.npy,keyboard,0.07759788236388587,0.17401123046875,2.2424739589251343,144,3.2653061224489797,32
dataset\voice\voice_0001.npy,voice,0.04340669662382557,0.09185791015625,2.116215176481086,158,3.582766439909297,25
dataset\voice\voice_0002.npy,voice,0.04887008222400561,0.118621826171875,2.427289269294629,117,2.6530612244897958,12
dataset\voice\voice_0003.npy,voice,0.07377642671017576,0.187652587890625,2.543530450828173,124,2.811791383219955,34
dataset\voice\voice_0004.npy,voice,0.06589448538887256,0.26373291015625,4.002351768889994,20,0.45351473922902497,12
dataset\voice\voice_0005.npy,voice,0.0689643493850243,0.18890380859375,2.7391516091757797,72,1.6326530612244898,15
dataset\voice\voice_0006.npy,voice,0.07023059950533814,0.139129638671875,1.9810401684140535,180,4.081632653061225,23
dataset\voice\voice_0007.npy,voice,0.060449556207346745,0.188629150390625,3.120438961431117,56,1.2698412698412698,25
dataset\voice\voice_0008.npy,voice,0.06317132258256046,0.239349365234375,3.7888927356485573,27,0.6122448979591837,27
dataset\voice\voice_0009.npy,voice,0.07777591399518449,0.18988037109375,2.4413775594524862,103,2.3356009070294785,17
dataset\voice\voice_0010.npy,voice,0.13361788021951296,0.61224365234375,4.5820488346165265,19,0.4308390022675737,150
dataset\voice\voice_0011.npy,voice,0.20505124608375971,0.74945068359375,3.654943327131077,36,0.8163265306122449,156
dataset\voice\voice_0012.npy,voice,0.04343660371592644,0.135162353515625,3.1117155107149053,58,1.3151927437641724,127
dataset\voice\voice_0013.npy,voice,0.03480527724450581,0.102447509765625,2.943447599797438,63,1.4285714285714286,119
dataset\voice\voice_0014.npy,voice,0.11376392686344537,0.309356689453125,2.7192863149358066,81,1.836734693877551,62
dataset\voice\voice_0015.npy,voice,0.1594046895214872,0.476837158203125,2.9913621715554926,62,1.4058956916099774,92
dataset\voice\voice_0016.npy,voice,0.0871659545363056,0.29278564453125,3.3589449698425717,36,0.8163265306122449,61
dataset\voice\voice_0017.npy,voice,0.11177141151203042,0.3433837890625,3.0721969456880323,51,1.1564625850340136,50
dataset\voice\voice_0018.npy,voice,0.24290652204603114,0.666290283203125,2.742990503469734,87,1.9727891156462585,70
dataset\voice\voice_0019.npy,voice,0.16395398432816394,0.646270751953125,3.9417813150522436,22,0.4988662131519274,48
dataset\voice\voice_0020.npy,voice,0.1345967930282142,0.40386962890625,3.000588794278262,60,1.3605442176870748,51
dataset\voice\voice_0021.npy,voice,0.16013519381982866,0.4488525390625,2.802959976228043,77,1.746031746031746,84
dataset\voice\voice_0022.npy,voice,0.22924970439628117,0.71441650390625,3.11632464603448,52,1.1791383219954648,96
dataset\voice\voice_0023.npy,voice,0.2093959336388995,0.71624755859375,3.4205418708316917,39,0.8843537414965986,167
dataset\voice\voice_0024.npy,voice,0.060566498913023716,0.43701171875,7.215403343316393,9,0.20408163265306123,50
dataset\voice\voice_0025.npy,voice,0.010033227600169725,0.041656494140625,4.151853800258685,11,0.2494331065759637,35
dataset\voice\voice_0026.npy,voice,0.05686157474952288,0.230865478515625,4.060131636040596,29,0.6575963718820862,139
dataset\voice\voice_0027.npy,voice,0.12312020707825576,0.5103759765625,4.145346963541921,18,0.40816326530612246,156
dataset\voice\voice_0028.npy,voice,0.28973949714909214,0.755218505859375,2.6065431647752186,84,1.9047619047619047,88
dataset\voice\voice_0029.npy,voice,0.10184392358054024,0.312469482421875,3.0681210173012214,46,1.0430839002267573,64
dataset\voice\voice_0030.npy,voice,0.020474520357056037,0.154205322265625,7.531571903831288,8,0.18140589569160998,36
dataset\voice\voice_0031.npy,voice,0.03865948836075215,0.1328125,3.435443810343693,36,0.8163265306122449,99
dataset\voice\voice_0032.npy,voice,0.03860275442486916,0.150360107421875,3.895061626094953,26,0.5895691609977324,118
dataset\voice\voice_0033.npy,voice,0.014729378123399294,0.0980224609375,6.654894735968531,10,0.22675736961451248,56
dataset\voice\voice_0034.npy,voice,0.22462533591624229,0.601715087890625,2.678749863350192,90,2.0408163265306123,200
dataset\voice\voice_0035.npy,voice,0.03245752946127223,0.241241455078125,7.432526722835458,10,0.22675736961451248,72
dataset\voice\voice_0036.npy,voice,0.008447871005808601,0.02001953125,2.3697723646863142,121,2.743764172335601,20
dataset\voice\voice_0037.npy,voice,0.008791772329030511,0.0179443359375,2.041037377440683,171,3.877551020408163,25
dataset\voice\voice_0038.npy,voice,0.11604772343406629,0.627044677734375,5.4033345866594,13,0.2947845804988662,130
dataset\voice\voice_0039.npy,voice,0.08343466102957399,0.48834228515625,5.8529905812543985,15,0.3401360544217687,209
dataset\voice\voice_0040.npy,voice,0.024498973249479163,0.173492431640625,7.081620518293082,12,0.272108843537415,79
dataset\voice\voice_0041.npy,voice,0.03978036853955473,0.132354736328125,3.3271370072029622,50,1.1337868480725624,127
dataset\voice\voice_0042.npy,voice,0.021522042685149265,0.1552734375,7.214623619678185,12,0.272108843537415,78
dataset\voice\voice_0043.npy,voice,0.05310628621125471,0.378997802734375,7.136590218844088,12,0.272108843537415,53
dataset\voice\voice_0044.npy,voice,0.015235869479461308,0.050750732421875,3.3310033595581436,43,0.9750566893424036,68
dataset\voice\voice_0045.npy,voice,0.13931018965812825,0.38433837890625,2.7588676739973503,71,1.6099773242630386,70
dataset\voice\voice_0046.npy,voice,0.06209999843560581,0.187957763671875,3.026695143427042,59,1.3378684807256236,109
dataset\voice\voice_0047.npy,voice,0.13973242448223125,0.61090087890625,4.371933580698257,27,0.6122448979591837,124
dataset\voice\voice_0048.npy,voice,0.17291015112726635,0.435638427734375,2.519449696239834,102,2.312925170068027,74
dataset\voice\voice_0049.npy,voice,0.05475205585846667,0.29339599609375,5.358629762728449,17,0.3854875283446712,125
dataset\voice\voice_0050.npy,voice,0.031234369875306544,0.19134521484375,6.1261109350896445,14,0.31746031746031744,184
dataset\noise\noise_0001.npy,noise,0.09027363072939455,0.3067626953125,3.398142877758578,46,1.0430839002267573,147
dataset\noise\noise_0002.npy,noise,0.16320281005695422,0.56842041015625,3.4829082290794116,36,0.8163265306122449,178
dataset\noise\noise_0003.npy,noise,0.025008119001849804,0.184234619140625,7.3669922606733245,9,0.20408163265306123,71
dataset\noise\noise_0004.npy,noise,0.00926203853240402,0.0311279296875,3.36080762119444,39,0.8843537414965986,81
dataset\noise\noise_0005.npy,noise,0.07770264617946136,0.506103515625,6.513336939080655,8,0.18140589569160998,88
dataset\noise\noise_0006.npy,noise,0.04646186194125387,0.32073974609375,6.90329084312832,16,0.36281179138321995,58
dataset\noise\noise_0007.npy,noise,0.009357713082301274,0.036041259765625,3.8515029739255096,27,0.6122448979591837,38
dataset\noise\noise_0008.npy,noise,0.008445875513396562,0.021881103515625,2.590744261020416,91,2.0634920634920637,22
dataset\noise\noise_0009.npy,noise,0.014776404578755507,0.0362548828125,2.4535659279812063,99,2.2448979591836733,17
dataset\noise\noise_0010.npy,noise,0.03428967579462519,0.11590576171875,3.3801941556098907,43,0.9750566893424036,23
dataset\noise\noise_0011.npy,noise,0.022163778607896492,0.077850341796875,3.5125031328881144,18,0.40816326530612246,21
dataset\noise\noise_0012.npy,noise,0.030482844163632023,0.078704833984375,2.5819386656273657,91,2.0634920634920637,15
dataset\noise\noise_0013.npy,noise,0.028767235353057953,0.072174072265625,2.508898452695869,116,2.630385487528345,28
dataset\noise\noise_0014.npy,noise,0.025104672115157465,0.060028076171875,2.391111737947448,106,2.4036281179138324,24
dataset\noise\noise_0015.npy,noise,0.03223559636904062,0.07550048828125,2.34214647115266,110,2.494331065759637,28
dataset\noise\noise_0016.npy,noise,0.03667978725757083,0.11395263671875,3.1066875038984803,52,1.1791383219954648,41
dataset\noise\noise_0017.npy,noise,0.03729850326014557,0.119842529296875,3.213065373186969,44,0.9977324263038548,29
dataset\noise\noise_0018.npy,noise,0.05481942661834692,0.176971435546875,3.2282613384293652,52,1.1791383219954648,32
dataset\noise\noise_0019.npy,noise,0.06484208524596276,0.194732666015625,3.0031832763698723,53,1.2018140589569162,22
dataset\noise\noise_0020.npy,noise,0.06178281836621321,0.1900634765625,3.076316063082659,62,1.4058956916099774,36
dataset\noise\noise_0021.npy,noise,0.0601067602266981,0.196075439453125,3.2621195804533247,36,0.8163265306122449,30
dataset\noise\noise_0022.npy,noise,0.06893027660906034,0.259063720703125,3.758344423487677,34,0.7709750566893424,40
dataset\noise\noise_0023.npy,noise,0.07484779308330607,0.215545654296875,2.8797863693452035,73,1.655328798185941,32
dataset\noise\noise_0024.npy,noise,0.08581620147538456,0.354583740234375,4.131897405597514,18,0.40816326530612246,45
dataset\noise\noise_0025.npy,noise,0.10686969898122614,0.287322998046875,2.688535672748074,80,1.8140589569160999,23
dataset\noise\noise_0026.npy,noise,0.07423103449725081,0.210296630859375,2.8330014835932733,78,1.7687074829931972,30
dataset\noise\noise_0027.npy,noise,0.1115467890024309,0.306976318359375,2.751996010863972,71,1.6099773242630386,19
dataset\noise\noise_0028.npy,noise,0.11772324689307523,0.27777099609375,2.3595254414452373,124,2.811791383219955,26
dataset\noise\noise_0029.npy,noise,0.09850253354763516,0.24700927734375,2.507643899578461,94,2.131519274376417,28
dataset\noise\noise_0030.npy,noise,0.10246339585106844,0.310638427734375,3.0317014691362663,56,1.2698412698412698,25
dataset\noise\noise_0031.npy,noise,0.11502738917774777,0.308837890625,2.684907419290928,82,1.8594104308390023,31
dataset\noise\noise_0032.npy,noise,0.09150982931658416,0.21905517578125,2.393788486080708,120,2.7210884353741496,23
dataset\noise\noise_0033.npy,noise,0.12298768344895367,0.299285888671875,2.4334622807664665,122,2.766439909297052,26
dataset\noise\noise_0034.npy,noise,0.10776428552290875,0.3291015625,3.053901957435044,52,1.1791383219954648,39
dataset\noise\noise_0035.npy,noise,0.12537670936967954,0.328094482421875,2.6168694654002436,86,1.9501133786848073,19
dataset\noise\noise_0036.npy,noise,0.10801452238892897,0.38031005859375,3.5209159859482946,30,0.6802721088435374,25
